v1,v2
Package all your programs well,0
Ur TONEXS subscription has been renewed and you have been charged å£4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,1
Please dont say like that. Hi hi hi,0
I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,0
I want to go to perumbavoor,0
No problem. We will be spending a lot of quality time together...,0
Let's pool our money together and buy a bunch of lotto tickets. If we win I get &lt;#&gt; % u get &lt;#&gt; %. Deal?,0
That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.,0
"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",0
Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,0
You always make things bigger than they are,0
Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.,0
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1
You unbelievable faglord,0
"Sorry, I'll call later",0
Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D,1
You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1
I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?,0
"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",0
\CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,0
I will come tomorrow di,0
Not planned yet :)going to join company on jan 5 only.don know what will happen after that.,0
Sorry de i went to shop.,0
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,1
"I'm in solihull, | do you want anything?",0
Customer place i will call you.,0
I come n pick Ì_ up... Come out immediately aft ur lesson...,0
U come n search tat vid..not finishd..,0
Ugh my leg hurts. Musta overdid it on mon.,0
Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.,0
No need for the drug anymore.,0
"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",1
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",0
"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that",0
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1
Yup i've finished c Ì_ there...,0
"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2",1
Wrong phone! This phone! I answer this one but assume the other is people i don't well,0
Then. You are eldest know.,0
WOT U UP 2 J?,0
"Me also da, i feel yesterday night  wait til 2day night dear.",0
I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!,0
So when do you wanna gym?,0
Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:),0
Are you available for soiree on June 3rd?,0
"Haha, that was the first person I was gonna ask",0
yes baby! I need to stretch open your pussy!,0
