client_no,round_no,instance_count,f1,roc,messages_sent,messages_recv
0,0,88,0.26,0.88,6,24
1,0,47,0.31,0.68,14,13
2,0,86,0.68,0.91,49,16
3,0,143,0.33,0.87,13,13
4,0,529,0.84,0.96,28,38
0,1,176,0.66,0.93,33,62
1,1,94,0.51,0.81,28,38
2,1,172,0.67,0.92,65,65
3,1,286,0.72,0.93,76,54
4,1,1058,0.84,0.96,55,76
0,2,264,0.78,0.95,72,101
1,2,141,0.66,0.87,83,90
2,2,258,0.72,0.94,153,108
3,2,429,0.76,0.91,103,92
4,2,1587,0.84,0.96,118,117
0,3,351,0.76,0.94,139,178
1,3,188,0.65,0.91,134,225
2,3,343,0.69,0.9,266,141
3,3,571,0.73,0.92,205,148
4,3,2116,0.86,0.97,207,172
0,4,438,0.72,0.95,230,221
1,4,234,0.64,0.88,199,278
2,4,428,0.73,0.94,329,182
3,4,713,0.76,0.96,291,179
4,4,2644,0.84,0.96,261,248
