client_no,round_no,instance_count,f1,roc,messages_sent,messages_recv
0,0,88,0.44,0.86,3,24
1,0,47,0.34,0.67,14,25
2,0,86,0.36,0.75,38,15
3,0,143,0.3,0.89,7,24
4,0,529,0.83,0.96,1,12
0,1,176,0.61,0.92,66,65
1,1,94,0.24,0.81,54,52
2,1,172,0.32,0.92,112,33
3,1,286,0.75,0.93,35,62
4,1,1058,0.84,0.96,43,75
0,2,264,0.79,0.95,129,94
1,2,141,0.65,0.87,91,67
2,2,258,0.76,0.94,142,95
3,2,429,0.75,0.91,97,79
4,2,1587,0.81,0.96,44,87
0,3,351,0.74,0.94,178,110
1,3,188,0.7,0.92,144,95
2,3,343,0.72,0.9,180,122
3,3,571,0.75,0.92,137,94
4,3,2116,0.86,0.97,57,100
0,4,438,0.7,0.95,239,127
1,4,234,0.65,0.88,157,108
2,4,428,0.73,0.94,193,135
3,4,713,0.8,0.96,138,106
4,4,2644,0.84,0.96,73,125
