client_no,round_no,instance_count,f1,roc,messages_sent,messages_recv
1,0,47,0.36,0.69,0,0
0,0,88,0.14,0.87,0,0
3,0,143,0.01,0.86,0,0
4,0,529,0.87,0.96,0,0
2,0,86,0.08,0.72,0,0
1,1,94,0.32,0.81,13,13
2,1,172,0.31,0.93,31,89
0,1,176,0.7,0.93,61,17
3,1,286,0.75,0.92,67,92
4,1,1058,0.84,0.96,49,16
1,2,141,0.62,0.87,50,28
0,2,264,0.8,0.95,110,33
2,2,258,0.76,0.94,92,106
3,2,429,0.74,0.91,84,155
4,2,1587,0.84,0.97,54,78
1,3,188,0.69,0.92,63,41
0,3,351,0.77,0.94,123,46
2,3,343,0.7,0.9,117,120
3,3,571,0.76,0.92,85,167
4,3,2116,0.86,0.97,67,91
1,4,234,0.63,0.88,78,79
3,4,713,0.81,0.96,136,208
2,4,428,0.75,0.94,118,132
0,4,438,0.74,0.95,172,62
4,4,2644,0.84,0.96,68,103
