client_no,round_no,instance_count,f1,roc,messages_sent,messages_recv
0,0,88,0.2,0.89,13,23
1,0,47,0.32,0.67,13,23
2,0,86,0.15,0.75,13,23
3,0,143,0.09,0.87,13,23
0,1,176,0.71,0.93,26,46
1,1,94,0.3,0.81,26,46
2,1,172,0.37,0.92,26,46
3,1,286,0.64,0.92,26,46
0,2,264,0.8,0.95,39,69
1,2,141,0.59,0.86,39,69
2,2,258,0.77,0.94,39,69
3,2,429,0.76,0.91,39,69
0,3,351,0.76,0.94,52,92
1,3,188,0.69,0.92,52,92
2,3,343,0.71,0.9,52,92
3,3,571,0.76,0.92,52,92
0,4,438,0.73,0.95,65,115
1,4,234,0.66,0.88,65,115
2,4,428,0.74,0.94,65,115
3,4,713,0.8,0.96,65,115
