client_no,round_no,instance_count,f1,roc,messages_sent,messages_recv
0,0,88,0.55,0.9,3,36
1,0,47,0.21,0.67,15,37
2,0,86,0.28,0.91,27,38
3,0,143,0.34,0.88,39,39
0,1,176,0.43,0.92,42,75
1,1,94,0.13,0.8,54,76
2,1,172,0.19,0.92,66,77
3,1,286,0.54,0.92,78,78
0,2,264,0.77,0.95,81,114
1,2,141,0.58,0.86,93,115
2,2,258,0.75,0.94,105,116
3,2,429,0.76,0.91,117,117
0,3,351,0.76,0.94,120,153
1,3,188,0.68,0.91,132,154
2,3,343,0.72,0.9,144,155
3,3,571,0.74,0.92,156,156
0,4,438,0.7,0.94,159,192
1,4,234,0.63,0.87,171,193
2,4,428,0.73,0.94,183,194
3,4,713,0.79,0.96,195,195
